routeId,locationId
106956306,106947239
106956330,106947239
106956324,106947239
106957905,106956366
106957920,106956366
106957875,106956366
106957909,106956366
106957942,106956366
106957937,106956366
106957926,106956366
106957884,106956366
106957932,106956366
106957914,106956366
107717918,106956359
112062265,106956359
106956228,106947227
106956263,106947227
106956212,106947227
106956249,106947227
106956271,106947227
106956299,106947227
106956280,106947227
117944498,117944427
117944541,117944427
117172879,117156412
117201925,117156412
117211916,117156412
117185218,117156412
117165038,117156412
117157640,117156412
118850520,117156412
117290951,117156412
118850228,117156412
119488641,117156412
117216540,117156412
117234917,117156412
117179314,117156412
106673267,106673263
119497820,118879111
118879872,118879111
118909700,118879111
118879999,118879111
118879935,118879111
119497783,118879111
119497885,118879111
119498155,118879111
118879494,118879111
118879791,118879111
118879619,118879111
118879716,118879111
119002059,118879111
119500105,118879111
118879312,118879111
118879821,118879111
118879952,118879111
119498276,118879111
118880033,118879111
118881362,118879111
118880017,118879111
106394939,106394917
106394921,106394917
106383285,106383282
114525586,108470939
114525575,108470939
106935143,108470939
114525559,108470939
114525567,108470939
106272625,108470943
106272609,108470943
106272614,108470943
106272590,108470943
106272595,108470943
108405362,108470943
106272604,108470943
106272599,108470943
106272620,108470943
106873152,108470925
106873148,108470925
106279756,108470925
106279745,108470925
106873157,108470925
106281632,108470925
106281637,108470925
106279751,108470925
106934851,108470928
110754872,108470928
106934855,108470928
110576323,110549036
110576305,110549036
110576183,110549036
110576311,110549036
110576174,110549036
110576315,110549036
112166004,111212956
117724313,111212956
112106369,111212956
111213682,111212956
111200151,110549080
110910664,110549080
111711435,110549080
111713373,111711421
111757461,111711421
112304704,112104599
112300987,112104599
112104889,112104599
112104887,112104599
112304683,112104599
112301037,112104599
112304719,112104599
114586483,114586471
110576496,110549014
118853438,110549014
110576487,110549014
110576507,110549014
114586441,110549014
110576500,110549014
110576492,110549014
112304658,110549014
110576483,110549014
110553545,110548992
110553560,110548992
110553489,110548992
110553553,110548992
110549279,110548961
110549272,110548961
110549268,110548961
110549251,110548961
111213617,111213583
111213744,111213654
111213673,111213654
112246481,112246443
112246447,112246443
110561160,110549023
110558683,110549023
110561167,110549023
112163472,110549199
111711383,110549199
112784318,110549199
117331451,110549068
113083150,110549068
112166014,110549068
111212807,110549068
111716069,110549068
113100332,112892591
112892663,112892591
113100443,112892591
112892624,112892591
112892609,112892591
113100482,112892591
112892517,111881667
112892544,111881667
112892558,111881667
111883097,111881667
112892574,111881667
114444976,109515219
109532030,109515219
113223327,109515219
113223161,109515219
109531932,109515219
109532100,109515219
114432948,109515219
109515232,109515219
109515261,109515219
109532048,109515219
109532038,109515219
106279698,106271142
106271146,106271142
106271219,106271142
106271211,106271142
106271181,106271142
106271207,106271142
106271194,106271142
106271163,106271142
106271199,106271142
106271167,106271142
106271173,106271142
106271203,106271142
106271155,106271142
106271177,106271142
106271185,106271142
106271226,106271142
106271190,106271142
106506232,106506229
106415729,106415726
106415741,106415726
112318001,112317949
113486572,113486569
106404883,106404872
106404876,106404872
113690469,113690461
108997965,108973534
108997978,108973534
108998033,108973534
108997953,108973534
106415721,106407543
106415716,106407543
106407550,106407543
114525651,106407543
106407546,106407543
106415711,106407543
106087589,106087239
106087248,106087239
106087242,106087239
106087593,106087239
119056348,114524966
114525504,114524966
111711370,106087019
106087022,106087019
111711440,106087019
106087026,106087019
111711418,106087019
106087008,106086999
106360437,106086999
106087013,106086999
106087003,106086999
106087926,106087597
106087921,106087597
106087618,106087597
106087613,106087597
106087906,106087597
106087608,106087597
106087601,106087597
106087912,106087597
111837403,106087972
106087975,106087972
106088416,106088413
106088421,106088413
106088426,106088413
107615449,106088413
106088430,106088413
106088434,106088413
106087941,106087932
106580141,106087932
106087935,106087932
106087230,106087218
106087226,106087218
106395423,106087218
106087222,106087218
110353750,110353745
110356644,110353745
109664320,106087210
108379109,106087210
106087965,106087947
106087960,106087947
118734603,106087947
106087950,106087947
113711237,113222957
113222977,113222957
118092087,113222957
112905072,112329139
112329147,112329139
106087035,106087032
106087180,106087032
108824375,106087032
106087166,106087032
106087173,106087032
106087048,106087032
106087196,106087032
107726027,106087032
106087186,106087032
106087191,106087032
106087040,106087032
106087200,106087032
106088400,106087984
106088395,106087984
106088375,106087984
106088405,106087984
106088380,106087984
106088409,106087984
106088390,106087984
106088385,106087984
107415908,107415897
118191733,118170033
118191513,118170033
118182843,118170033
118182663,118170033
118669198,118170033
118170758,118170033
106956306,106947239
106956330,106947239
106956324,106947239
106957905,106956366
106957920,106956366
106957875,106956366
106957909,106956366
106957942,106956366
106957937,106956366
106957926,106956366
106957884,106956366
106957932,106956366
106957914,106956366
107717918,106956359
112062265,106956359
106956228,106947227
106956263,106947227
106956212,106947227
106956249,106947227
106956271,106947227
106956299,106947227
106956280,106947227
117944498,117944427
117944541,117944427
117172879,117156412
117201925,117156412
117211916,117156412
117185218,117156412
117165038,117156412
117157640,117156412
118850520,117156412
117290951,117156412
118850228,117156412
119488641,117156412
117216540,117156412
117234917,117156412
117179314,117156412
106673267,106673263
119497820,118879111
118879872,118879111
118909700,118879111
118879999,118879111
118879935,118879111
119497783,118879111
119497885,118879111
119498155,118879111
118879494,118879111
118879791,118879111
118879619,118879111
118879716,118879111
119002059,118879111
119500105,118879111
118879312,118879111
118879821,118879111
118879952,118879111
119498276,118879111
118880033,118879111
118881362,118879111
118880017,118879111
106394939,106394917
106394921,106394917
106383285,106383282
114525586,108470939
